id,type,title,handoffSource,inHandoff,implementationStatus,coverageClass,implementedSummary,implementationArtifacts,tests,evidence,decisionIds,deviationsOrNotes,remainingGap
US-053,story,Markera Granska,EPC-006: Köp kan flaggas för granskning och visas i köpradar/filter.,yes,implemented_first_slice,handoff_baseline_direct,Markera Granska är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-004,,
US-055,story,Markera Återkommande signal,EPC-006: Köp kan flaggas återkommande och visas med samma signalmönster som andra signaler.,yes,implemented_first_slice,handoff_baseline_direct,Markera Återkommande signal är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-015,,
US-056,story,Markera Värt det,EPC-007: Värt det-signal kan sättas/släckas och summeras separat.,yes,implemented_first_slice,handoff_baseline_direct,Markera Värt det är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-004,,
US-057,story,Markera Business,EPC-007: Business-signal kan sättas/släckas och påverka filter/statistik.,yes,implemented_first_slice,handoff_baseline_direct,Markera Business är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-004,,
US-058,story,Byta namn på Business-signal,EPC-007: Data-vyn låter användaren namnge business-signalen exempelvis Utlägg.,yes,implemented_first_slice,handoff_baseline_direct,Byta namn på Business-signal är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-013,,
US-059,story,Släcka signal visuellt när samma signal klickas igen,EPC-007: Samma signal/tile togglar av och ser inte längre aktiv ut.,yes,implemented_first_slice,handoff_baseline_direct,Släcka signal visuellt när samma signal klickas igen är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-004,,
US-060,story,Konvertera köp till återkommande utgift,EPC-007: Ett köp kan skapa ny återkommande utgift med köpets datum som första betalningsdatum och köpets data förifylld.,yes,implemented_first_slice,handoff_baseline_direct,Konvertera köp till återkommande utgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-014,,
US-061,story,Koppla originalköp som första betalning,EPC-007: När köp konverteras länkas originalköpet till den nya återkommande utgiften.,yes,implemented_first_slice,handoff_baseline_direct,Koppla originalköp som första betalning är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-014,,
US-062,story,Konvertera återkommande utgift till enskilt köp,EPC-007: En återkommande utgift kan göras om till enskilt köp och eventuella länkade köp kopplas loss.,yes,implemented_first_slice,handoff_baseline_direct,Konvertera återkommande utgift till enskilt köp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-014,,
US-063,story,Välja transaktionstyp,EPC-007: Köp har typfält och statistik/import filtrerar bort ignorerade rader.,yes,implemented_first_slice,handoff_baseline_direct,Välja transaktionstyp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,"DEC-006; DEC-017",,
US-065,story,Visa kategori- och leverantörstoppar för återkommande,EPC-008: Kategorier och leverantörer rankas på total periodkostnad och visar månads-/årstakt.,yes,implemented_first_slice,handoff_baseline_direct,Visa kategori- och leverantörstoppar för återkommande är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-066,story,Visa återkommande vs köp,EPC-008: Statistik visar periodtotal för återkommande och enskilda köp sida vid sida.,yes,implemented_first_slice,handoff_baseline_direct,Visa återkommande vs köp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-067,story,Rankar handlare efter mest pengar,EPC-008: Mest pengar sorterar strikt på totalbelopp över vald period.,yes,implemented_first_slice,handoff_baseline_direct,Rankar handlare efter mest pengar är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-068,story,Rankar handlare efter flest transaktioner,"EPC-008: Flest transaktioner sorterar på antal, med total som tie-breaker.",yes,implemented_first_slice,handoff_baseline_direct,Rankar handlare efter flest transaktioner är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-069,story,Rankar kategorier efter mest pengar och antal,EPC-008: Kategorilistor sorterar separat efter totalbelopp respektive antal.,yes,implemented_first_slice,handoff_baseline_direct,Rankar kategorier efter mest pengar och antal är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-070,story,Visa köpintelligens,"EPC-008: KPI:er visar total köpvolym, transaktioner, medelköp och antal handlare.",yes,implemented_first_slice,handoff_baseline_direct,Visa köpintelligens är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-007,,
US-071,story,Visa handlare efter påverkan,"EPC-008: Handlarlista visar total, antal, aktiva månader, snitt och trend/sparkline.",yes,implemented_first_slice,handoff_baseline_direct,Visa handlare efter påverkan är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-007,,
US-072,story,Visa köp per månad och år,"EPC-008: Periodsammanfattningar visar total, snitt och topphandlare per månad/år.",yes,implemented_first_slice,handoff_baseline_direct,Visa köp per månad och år är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-073,story,Visa köpradar,"EPC-009: Köpradar visar Granska, Onödigt, Återkommande, Värt det och Business/Utlägg med antal eller belopp.",yes,implemented_first_slice,handoff_baseline_direct,Visa köpradar är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-015,,
US-074,story,Visa budgetutfall,EPC-009: Statistik jämför budgetbidrag mot återkommande + köp och visar utfall per månad.,yes,implemented_first_slice,handoff_baseline_direct,Visa budgetutfall är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-007,,
US-075,story,Visa beslutsinsikter,"EPC-009: Panel visar prioriterade insikter kring leverantör, dragningsdag, köp, toppmånad eller uppsägningskandidat.",yes,implemented_first_slice,handoff_baseline_direct,Visa beslutsinsikter är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-007,,
US-076,story,Spara lokalt utan konto,EPC-009: Appen fungerar lokalt med localStorage och kräver ingen inloggning.,yes,implemented_first_slice,handoff_baseline_direct,Spara lokalt utan konto är implementerad i de listade artefakterna.,"src/storage.js; src/app.js",,Dev server responded with HTTP 200,"DEC-001; TECH-001; DEC-002",,
US-077,story,Exportera JSON,"EPC-009: Export innehåller kontext, register, utgifter, perioder, filer, köp och regler.",yes,implemented_first_slice,handoff_baseline_direct,Exportera JSON är implementerad i de listade artefakterna.,"src/app.js; src/storage.js",,Dev server responded with HTTP 200,DEC-008,,
US-078,story,Exportera ZIP med filer,EPC-009: ZIP innehåller context.json och bifogade filer.,yes,implemented_first_slice,handoff_baseline_direct,Exportera ZIP med filer är implementerad i de listade artefakterna.,"src/app.js; src/storage.js; tests/storage.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-016,,
US-079,story,Importera som ny plånbok,EPC-009: Import remappar ID:n och skapar ny kontext bredvid befintlig data.,yes,implemented_first_slice,handoff_baseline_direct,Importera som ny plånbok är implementerad i de listade artefakterna.,"src/app.js; src/storage.js; tests/storage.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-008,,
US-080,story,Exportera CSV,EPC-009: CSV innehåller återkommande utgifter och köp med relevanta kolumner.,yes,implemented_first_slice,handoff_baseline_direct,Exportera CSV är implementerad i de listade artefakterna.,"src/app.js; src/storage.js; tests/storage.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-011,,
US-081,story,Exportera PDF-rapport,"EPC-010: PDF genereras med plånbok, totals och rapportmetadata.",yes,implemented_first_slice,handoff_baseline_direct,Exportera PDF-rapport är implementerad i de listade artefakterna.,"src/app.js; src/storage.js; tests/storage.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-016,,
US-082,story,Skapa fristående datafil,EPC-010: Användaren kan spara en JSON-datafil via File System Access API där det stöds.,yes,implemented_first_slice,handoff_baseline_direct,Skapa fristående datafil är implementerad i de listade artefakterna.,"src/app.js; src/storage.js; tests/storage.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-008,,
US-083,story,Återansluta datafil,EPC-010: Appen kan öppna tidigare datafil och autospara efter ändringar när rättighet finns.,yes,implemented_first_slice,handoff_baseline_direct,Återansluta datafil är implementerad i de listade artefakterna.,"src/app.js; src/storage.js; tests/storage.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-016,,
US-084,story,Dela datafil/handoff,EPC-010: Appen kan skapa delningsbar fil/HTML-handoff som kan läsas tillbaka.,yes,implemented_first_slice,handoff_baseline_direct,Dela datafil/handoff är implementerad i de listade artefakterna.,"src/app.js; src/storage.js",,Dev server responded with HTTP 200,DEC-008,,
US-085,story,Konfigurera experimentell molnsync,"EPC-010: Användaren kan ange endpoint/token, pulla, pusha, se status och koppla från.",yes,implemented_first_slice,handoff_baseline_direct,Konfigurera experimentell molnsync är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-016,,
US-086,story,Hantera molnkonflikt,EPC-010: Sync visar konflikt/error och stoppar automatisk write när revision inte matchar.,yes,implemented_first_slice,handoff_baseline_direct,Hantera molnkonflikt är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-016,,
US-087,story,Responsiv huvudnavigation,"EPC-010: Nav innehåller Översikt, Inköp, Statistik, Register, Data och Hjälp där relevant.",yes,implemented_first_slice,handoff_baseline_direct,Responsiv huvudnavigation är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,"DEC-001; TECH-001",,
US-088,story,Visa hjälpvy,"EPC-010: Hjälp förklarar plånbok, återkommande utgifter, inköp, signaler, import och data.",yes,implemented_first_slice,handoff_baseline_direct,Visa hjälpvy är implementerad i de listade artefakterna.,src/app.js,,Dev server responded with HTTP 200,,,
US-089,story,Visa tydliga tomlägen,EPC-011: Tomma paneler visar kort hjälptext och relevant primär action.,yes,implemented_first_slice,handoff_baseline_direct,Visa tydliga tomlägen är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,DEC-001,,
US-090,story,Använda modaler för skapande/redigering,"EPC-011: Utgift och köp öppnas i modal med stäng, avbryt och spara.",yes,implemented_first_slice,handoff_baseline_direct,Använda modaler för skapande/redigering är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,DEC-001,,
US-091,story,Använda drawer för detaljer,EPC-011: Utgiftsdetalj öppnas som sidopanel med åtgärder.,yes,implemented_first_slice,handoff_baseline_direct,Använda drawer för detaljer är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,DEC-001,,
US-092,story,Undvika överlappande text i mobil,"EPC-011: Belopp, chips, kort och knappar bryter rad eller justeras så innehåll inte kolliderar.",yes,implemented_first_slice,handoff_baseline_direct,Undvika överlappande text i mobil är implementerad i de listade artefakterna.,src/styles.css,,Dev server responded with HTTP 200,"DEC-001; TECH-001",,
US-093,story,Ha konsekvent signaldesign,"EPC-011: Samma signaler använder samma ikon, färgton och aktivt/inaktivt läge över appen.",yes,implemented_first_slice,handoff_baseline_direct,Ha konsekvent signaldesign är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,,,
US-094,story,Simulera bort återkommande utgift,EPC-011: Användaren kan markera utgift som simulerat borttagen från första möjliga månad.,yes,implemented_first_slice,handoff_baseline_direct,Simulera bort återkommande utgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; src/styles.css; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-010,,
US-095,story,Visa simulerad vy tydligt,EPC-011: Statistik visar banner och återställ-knapp när simulering är aktiv.,yes,implemented_first_slice,handoff_baseline_direct,Visa simulerad vy tydligt är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; src/styles.css; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-010,,
US-096,story,Återställa simulering,EPC-011: Alla simulerade borttagningar kan rensas i ett steg.,yes,implemented_first_slice,handoff_baseline_direct,Återställa simulering är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; src/styles.css; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-010,,
US-097,story,Slå på/av inköpsmodul,EPC-012: Data/inställning kan aktivera eller dölja inköpsvyn där state stödjer det.,yes,implemented_first_slice,handoff_baseline_direct,Slå på/av inköpsmodul är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-013,,
US-098,story,Växla planflagga,EPC-012: Plånbok har free/premium som lokal flagga utan verklig betalvägg.,yes,implemented_first_slice,handoff_baseline_direct,Växla planflagga är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-013,,
US-099,story,Visa lokal datarisk,"EPC-012: Data-vyn förklarar lokal lagring, browser-risk och backup/export.",yes,implemented_first_slice,handoff_baseline_direct,Visa lokal datarisk är implementerad i de listade artefakterna.,"src/app.js; src/storage.js",,Dev server responded with HTTP 200,"DEC-001; TECH-001",,
US-100,story,Rensa lokal data,"EPC-012: Reset rensar lokal state, datafilskoppling och cloud config efter explicit handling.",yes,implemented_first_slice,handoff_baseline_direct,Rensa lokal data är implementerad i de listade artefakterna.,"src/app.js; src/storage.js",,Dev server responded with HTTP 200,,,
ADD-001,post_handoff_user_rule,MasterCard PDF/Excel import specialiserad mot bifogade format,"US-045, US-046, US-047, US-063",partly,implemented,baseline_plus_user_rule,"CSV-importen från handoffen utökades efter användarens exempel med lokal parsning av MasterCard XLSX och PDF, inklusive förhandsgranskning.","src/mastercard-import.js; src/app.js; src/domain.js","tests/mastercard-import.test.js; tests/domain.test.js; npm test","Provided Excel sample parses 51 rows; provided PDF sample parses 51 rows; 41 tests passing",DEC-017,Ligger inom US-045 men den konkreta MasterCard-layouten kom efter handoffen.,PDF-parsern kan behöva fler layoutvarianter för andra kortutgivare.
ADD-002,post_handoff_user_rule,Ignorera importerade köp som redan finns som återkommande kostnad,"US-047, US-063",partly,implemented,baseline_plus_user_rule,Importförhandsgranskningen markerar rader som ignorerade när handlare/leverantör och belopp matchar en befintlig återkommande kostnad.,"src/domain.js; src/app.js","tests/domain.test.js; npm test",Import preview test verifies ignored recurring match,DEC-017,Regeln var användarspecificerad efter första implementeringen.,
ADD-003,post_handoff_visual_refinement,Ikoner och symboler i hela appen,"UX-001, US-087, US-089, US-090, US-092",partly,implemented,ux_refinement_inside_baseline,"Ett internt SVG-ikonset lades till för navigation, knappar, scorecards, panelrubriker, importytor och mobilnav.","src/app.js; src/styles.css","node --check src/app.js; npm test","Syntax check passed; 41 tests passing",,"Ingen extern ikonberoende infördes; följer local-first/no dependency-valet.",
ADD-004,post_handoff_ux_correction,Översikt separerar återkommande kostnader och enskilda inköp,"OUT-001, EP-003, EP-006, EP-008",yes,implemented,baseline_clarification,"Översikt blev en separat kontrollvy med återkommande kostnader och enskilda inköp i egna paneler, medan Återkommande behåller tidslinjen.","src/app.js; src/styles.css","overview smoke test; npm test","OVERVIEW_SMOKE_OK; 41 tests passing",,Byggdes efter användarfeedback om att Översikt och Återkommande var för lika.,
FIX-001,bug_fix,Refresh-krasch efter ikonpolish,"TECH-001, US-076",no,implemented,implementation_quality_fix,Flyttade initial render tills ikonregistret är initierat så refresh med sparad lokal data inte ger blank sida.,src/app.js,"SMOKE_OK; npm test","Smoke test with saved wallet data passed; 41 tests passing",,Kvalitetsfix orsakad av senare UI-polish.,
GAP-001,scope_out,Direkt bankintegration,Scope-out: direkt bankintegration,explicitly_excluded,not_implemented,intentional_scope_out,Ingen bankkoppling byggdes.,,,Traceability report scope-out section,,Detta är inte en miss utan ett uttryckligt scope-out.,"Kräver nytt beslut om bank/provider, säkerhet och samtycke."
GAP-002,deferred_decision,Riktig molnsync-transport,"US-085, US-086",partly,partially_implemented,requires_product_security_decision,"Lokal sync-konfiguration och konfliktdetektion finns, men ingen data skickas över nätverk.","src/app.js; src/domain.js",tests/domain.test.js,US-085/US-086 test verifies local config and conflict detection,DEC-016,Medvetet stoppat före riktig nätverkstransport för att undvika säkerhets-/providerbeslut utan godkännande.,Välj endpoint/protokoll/autentisering innan riktig sync byggs.
GAP-003,implementation_limitation,Native binär PDF-rapport,US-081,yes,partially_implemented,browser_print_to_pdf,Rapporten öppnas som lokal HTML och använder browserns print-to-PDF.,"src/storage.js; src/app.js",tests/storage.test.js,Printable report HTML test,DEC-016,Valt för dependency-free local-first implementation.,Native PDF kräver PDF-generator/dependency eller egen PDF-writer.
GAP-004,test_gap,Automatiserade browser-/E2E-tester,"TECH-001, UX-001",no,not_implemented,verification_gap,"Domän-, storage- och importtester finns; UI har smoke checks men inte full browserautomation.",tests/*.test.js,npm test,41 Node tests passing,,"Bra nästa kvalitetsskikt för navigation, modaler och importflöden.",Lägg till Playwright eller motsvarande om UI-regressioner ska fångas automatiskt.
